,equity
2024-01-30,82796.96531045824
2024-01-31,83293.46573764665
2024-02-01,83478.97066901573
2024-02-02,82790.73494244347
2024-02-05,82782.06844165253
2024-02-06,83173.66345055077
2024-02-07,82357.53911348457
2024-02-08,81916.89498289008
2024-02-09,81916.89498289008
2024-02-12,81916.89498289008
2024-02-13,81916.89498289008
2024-02-14,81916.89498289008
2024-02-15,81916.89498289008
2024-02-16,81916.89498289008
2024-02-19,81916.89498289008
2024-02-20,81916.89498289008
2024-02-21,81916.89498289008
2024-02-22,81916.89498289008
2024-02-23,81916.89498289008
2024-02-26,81916.89498289008
2024-02-27,81916.89498289008
2024-02-28,81916.89498289008
2024-02-29,81916.89498289008
2024-03-01,81916.89498289008
2024-03-04,81916.89498289008
2024-03-05,81916.89498289008
2024-03-06,81916.89498289008
2024-03-07,81916.89498289008
2024-03-08,81916.89498289008
2024-03-11,81916.89498289008
2024-03-12,81916.89498289008
2024-03-13,81916.89498289008
2024-03-14,81916.89498289008
2024-03-15,81916.89498289008
2024-03-18,81916.89498289008
2024-03-19,81916.89498289008
2024-03-20,81916.89498289008
2024-03-21,81916.89498289008
2024-03-22,81916.89498289008
2024-03-25,81916.89498289008
2024-03-26,81916.89498289008
2024-03-27,81916.89498289008
2024-03-28,81916.89498289008
2024-03-29,81916.89498289008
2024-04-01,81916.89498289008
2024-04-02,81916.89498289008
2024-04-03,81916.89498289008
2024-04-04,81916.89498289008
2024-04-05,81916.89498289008
2024-04-08,81916.89498289008
2024-04-09,81916.89498289008
2024-04-10,81916.89498289008
2024-04-11,81916.89498289008
2024-04-12,81916.89498289008
2024-04-15,81916.89498289008
2024-04-16,81916.89498289008
2024-04-17,81916.89498289008
2024-04-18,81916.89498289008
2024-04-19,81897.58593040195
2024-04-22,81875.82139952699
2024-04-23,81279.7695000706
2024-04-24,81351.35375328976
2024-04-25,81841.48644775442
2024-04-26,81485.47594986836
2024-04-29,81645.15650291524
2024-04-30,81352.33511528975
2024-05-01,81138.07172069009
2024-05-02,81381.47775414915
2024-05-03,81273.86541703738
2024-05-06,81761.9195068755
2024-05-07,81120.68185952395
2024-05-08,81835.60332793568
2024-05-09,82096.02861594586
2024-05-10,82067.41864253269
2024-05-13,82319.33183232306
2024-05-14,81837.74551247267
2024-05-15,82312.90470319342
2024-05-16,82231.67624644592
2024-05-17,82194.98138065866
2024-05-20,82052.1048277381
2024-05-21,81877.05805411065
2024-05-22,82160.38127070841
2024-05-23,82216.18318547696
